,e0_n,e0_p,e0_F_d_in,e0_inflow,e0_outflow
1970-01-01,0.0,2.3497446890037662e-12,0.12393055555555557,0.12393055555555557,0.00015321678074064056
1970-01-02,2298.3415165573383,1120326.1585444019,0.06839349826282391,0.06839349826282391,0.06196527313478546
1970-01-03,2531.3911037838975,1233926.137889062,0.06276209484231056,0.06276209484231056,0.061965277298961355
1970-01-04,2560.2807834587643,1248008.407046435,0.06206400546624812,0.06206400546624812,0.061965277416491854
1970-01-05,2563.8609432116677,1249753.5552735575,0.06197749459052248,0.06197749459052248,0.06196527742888352
1970-01-06,2564.303031245383,1249969.051006016,0.06196681198818509,0.06196681198818509,0.06196527743038399
1970-01-07,2564.3588183858383,1249996.2444375895,0.061965463949352165,0.061965463949352165,0.061965277430572875
1970-01-08,2564.3657452006355,1249999.620912216,0.06196529657000167,0.06196529657000167,0.06196527743059631
1970-01-09,2564.366478724911,1249999.9784684915,0.061965278845142524,0.061965278845142524,0.0619652774305988
1970-01-10,2564.3665329377836,1250000.0048945467,0.06196527753514424,0.06196527753514424,0.06196527743059898
1970-01-11,2564.3665369445166,1250000.006847628,0.06196527743832567,0.06196527743832567,0.061965277430598986
