e0_n,e0_F_d_in,e0_p
1.0,0.057790608466800814,487.44982002645594
1.5778778797962392,0.057785181307508454,769.1362884886584
1318.335601908853,0.0454188074276888,642622.4518500621
2353.301535405142,0.035698890503769315,1147116.409838961
3166.7777010732593,0.028059102087573177,1543645.2203681741
3806.157558212516,0.022054344932691098,1855310.8166423303
4308.715351631332,0.017334556731549638,2100282.522583929
4703.7157378977945,0.013624897490441986,2292825.3897694475
5014.1813714180125,0.01070914918619178,2444161.8069450636
5258.216332127169,0.008417286751056413,2563116.604616449
5450.021256762069,0.006615944433680005,2656611.880604844
5600.780195895211,0.005200086851815327,2730099.2983486857
5719.277562312892,0.004087214901149115,2787860.8182794577
5812.413122029369,0.003212529200095419,2833259.7300988534
5885.616325826431,0.002525038881386547,2868942.6186131556
5943.1528710620905,0.0019846825066692727,2896988.797231699
5988.376572961668,0.001559962608912768,2919033.0825823825
6023.922790306262,0.0012261291286339918,2936360.0798286856
6051.862446397288,0.0009637329208957924,2949979.260161118
6073.823255306652,0.0007574872549539435,2960684.0525110406
6091.085252129561,0.0005953706387163067,2969098.409755209
6104.6532293647815,0.00046794653007298817,2975712.1178162815
6115.316046169285,0.000367806332062177,2980909.7059483295
6123.697732514821,0.00028908944648725697,2984995.357448758
6130.285959057068,0.0002272158981954239,2988206.7872908954
6135.463990784612,0.00017858624132244824,2990730.8179244404
6139.5334377492545,0.00014036789505379258,2992714.469114855
6142.73369230033,0.00011031259819318444,2994274.432619731
6145.248735963416,8.669248213522475e-05,2995500.390200594
6147.22560544235,6.812664679437563e-05,2996464.014872264
6148.7791137216445,5.353682221496747e-05,2997221.2722033747
6149.999926729061,4.207151632645965e-05,2997816.357284094
6150.959293614283,3.306159037418644e-05,2998284.00049961
6151.713204995362,2.598120660994002e-05,2998651.4944666116
6152.30566068596,2.0417139322957703e-05,2998940.2868863516
6152.771237614668,1.604465814044108e-05,2999167.2322764476
6153.137107805444,1.2608576097379006e-05,2999345.5756350844
6153.42462419263,9.908356401948756e-06,2999485.7254462657
6153.650769878411,7.784501686225388e-06,2999595.9601200926
6153.8284412702005,6.115894911769838e-06,2999682.5660080393
6153.968028825681,4.804953750352972e-06,2999750.607936833
